X,Y,NAME,WEB_URL,RELIGION,ADDRESS,PLACE_OF_WORSHIP,IS_PLACE_OF_WORSHIP,MAR_ID,GIS_ID,XCOORD,YCOORD,SE_ANNO_CAD_DATA,GLOBALID,CREATED,EDITED,OBJECTID
-8570816.66421848,4714305.50690442,FAITH UNITED CHURCH OF CHRIST,FAITHUNITEDDC.COM,CHRISTIAN,4900 10TH ST NE,CHURCHES,1,,PlacesofWorshipPt_287,400610.8,142294.72,,{254A2432-36F8-4237-85CC-FB56A2B5853D},,,108
-8575601.51711417,4714300.05294901,CHURCH OF CHRIST,COC16TH.ORG,CHRISTIAN,4801 16TH ST NW,CHURCHES,1,,PlacesofWorshipPt_437,396884.82,142291.08,,{C4849695-78D5-4EC9-8E4F-D44A88F6CBC5},,,109
-8575708.88589501,4714294.98119404,CAPITAL SPANISH SEVENTH-DAY,CAPITALSPANISHDC.ADVENTISTCHURCH.ORG,CHRISTIAN,4800 16TH ST NW,CHURCHES,1,,PlacesofWorshipPt_396,396801.21,142287.18,,{C937CE4E-86D4-4539-9E48-10950A787E5F},,,110
-8580767.42788938,4714279.35743654,SAINT COLUMBAS EPISCOPAL CHURCH,COLUMBA.ORG,CHRISTIAN,4201 ALBEMARLE STREET NORTHWEST,CHURCHES,1,,PlacesofWorshipPt_726,392862.09375,142277.640625,,{6F201A4E-1587-483B-AB2B-DE6D9B02EB98},,,111
-8578991.8421863,4714240.94629457,ONE LORD ONE SAFE CHURCH INC,ONENESSJG.ORG,CHRISTIAN,4500 CONNECTICUT AVE NW,CHURCHES,1,,PlacesofWorshipPt_170,394244.73,142246.72,,{C808BEE3-6EB4-4E60-B6E6-4D0D7F5DFC7E},,,112
-8575707.15114136,4714164.60942266,WASHINGTON SEVENTH DAY BAPT,WASHINGTONSDB.COM,CHRISTIAN,4700 16TH ST NW,CHURCHES,1,,PlacesofWorshipPt_410,396802.52,142186.07,,{727937D5-88A8-4D71-8EEC-7B235A619873},,,113
-8574955.23001072,4714121.07272656,PEOPLES CONGREGATIONAL UCC,,CHRISTIAN,4704 13TH ST NW,CHURCHES,1,,PlacesofWorshipPt_407,397388.04,142152.09,,{8B67A93B-13C6-4EDB-9E7D-472D4DB3CED5},,,114
-8580242.8666607,4714062.24986711,WISCONSIN AVENUE BAPTIST CHR,,CHRISTIAN,3920 ALTON PL NW,CHURCHES,1,,PlacesofWorshipPt_441,393270.43,142108.9,,{A1CA47EB-92D8-4A92-A0B8-AAC496563BE1},,,115
-8580242.8666607,4714062.24986711,AGAPE BAPTIST CHURCH,AGAPECHURCHDC.COM,CHRISTIAN,3920 ALTON PL NW,CHURCHES,1,,PlacesofWorshipPt_451,393270.43,142108.9,,{DF2518F1-C0A9-4419-AAED-5127620CC6BD},,,116
-8575702.2310099,4714064.38652475,NINETEENTH STREET BAPTIST CHR,EVERYBLESSING.ORG,CHRISTIAN,4606 16TH ST NW,CHURCHES,1,,PlacesofWorshipPt_455,396806.32,142108.34,,{1B81AA0D-CA92-498B-B1B3-DA3C7AF83AA7},,,117
-8572946.43920106,4714059.86358715,SAINT PAUL'S ROCK CREEK EPISCOPAL PARISH,STPAULSROCKCREEK.ORG,CHRISTIAN,ROCK CREEK CHURCH ROAD AND WEBSTER STREET NORTHWEST,CHURCHES,1,,PlacesofWorshipPt_740,398952.3125,142104.25,,{285673C1-3F19-45C1-A4DC-9377D69C62C1},,,118
-8580475.51510017,4714019.79783519,SAINT ANN'S CATHOLIC CHURCH,STANNDC.ORG,CHRISTIAN,4001 YUMA STREET NORTHWEST,CHURCHES,1,,PlacesofWorshipPt_724,393089.21875,142076.125,,{35AAFD94-581B-4E1B-B3AE-C94C32557506},,,119
-8575275.31610059,4714001.37054322,WASHINGTON D C CHURCH OF GOD,,CHRISTIAN,4604 14TH ST NW,CHURCHES,1,,PlacesofWorshipPt_575,397138.75,142059.34,,{C040AE19-A672-4462-ABBE-D83126C38F22},,,120
-8569246.55784803,4713950.562615,UNION WESLEY AME ZION CHURCH,,CHRISTIAN,1860 MICHIGAN AVE NE,CHURCHES,1,,PlacesofWorshipPt_305,401833.51,142019.63,,{63D96D89-ADB9-4E87-9D58-69389CD3B289},,,121
-8575146.50565755,4713934.71689382,Ethiopian Orthodox Tewhahedo,<Null>,CHRISTIAN,1350 BUCHANAN STREET NW,CHURCHES,1,259641,PlacesofWorshipPt_660,397239.04,142007.61,,{5B738139-700C-4867-AEA0-DE67F3082575},,,122
-8574192.27320079,4713932.35011974,New Southern Rock Baptist,NSRBC.ORG,CHRISTIAN,750 BUCHANAN STREET NW,CHURCHES,1,285402,PlacesofWorshipPt_656,397982.13,142005.55,,{3A361B22-9899-4CCA-95CF-9116A197F9B8},,,123
-8575581.58306623,4713863.26579806,SIMPSON-HAMLINE UNITED MTHDST,,CHRISTIAN,4501 16TH ST NW,CHURCHES,1,,PlacesofWorshipPt_402,396900.21,141952.32,,{5C6894EE-2C77-4AD9-9677-AD5D1ACE4D39},,,124
-8575607.61130811,4713762.3631057,Iglesia Pentecostal Emmanuel,,CHRISTIAN,4411 16TH STREET NW,CHURCHES,1,255453,PlacesofWorshipPt_706,396879.91,141874.07,,{C9EDA910-0252-4D79-9475-515352FCB22A},,,125
-8569180.53570699,4713752.47482359,RHEMA CHRISTIAN CTR CHURCH,RHEMACHRISTIANCENTER.ORG,CHRISTIAN,1825 MICHIGAN AVE NE,CHURCHES,1,,PlacesofWorshipPt_266,401884.96,141866.01,,{219DC127-8CFC-4393-B050-1A7938577CF9},,,126
-8574543.87488729,4713724.1251796,Christ Apostolic Church,<Null>,CHRISTIAN,4408 GEORGIA AVENUE NW,CHURCHES,1,252657,PlacesofWorshipPt_630,397708.28,141844.13,,{881B4709-2E6C-4A14-A7CE-8AE38B1FB952},,,127
-8580322.03632942,4713718.34563164,MARCHAR THE WA CONGRGTN FOR,,CHRISTIAN,4268 WISCONSIN AVE NW,CHURCHES,1,,PlacesofWorshipPt_579,393208.55,141842.23,,{3A1FF2D3-C921-4A86-A9E9-566C054B84B0},,,128
-8575607.68200069,4713713.48379553,JEMBOLLA SISAY,,CHRISTIAN,4401 16TH ST NW,CHURCHES,1,,PlacesofWorshipPt_445,396879.84,141836.16,,{9D2D1160-6DB8-47E6-BE26-A500B8F56B7E},,,129
-8575607.68200069,4713713.48379553,ERITREAN EVANGELICAL CHURCH,ERITREANCHURCHDC.COM,CHRISTIAN,4401 16TH ST NW,CHURCHES,1,,PlacesofWorshipPt_429,396879.84,141836.16,,{4DF60A5D-883B-4010-8CDD-1FA09A13BE7B},,,130
